,Date,casos_confirmados_global,muertes_global,COUNTRY_CODE,TOTAL_CASES,CASES_DAILY,TOTAL_RECOVERED,RECOVERED_DAILY,TOTAL_DEATHS,DEATHS_DAILY,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,INFODEMIC_INDEX,MEDIA_COVERAGE_INDEX,Open,High,Low,Close,Adj Close,Volume
111,2020-05-12,8533134,608684,XX,4261504,85517,1493638,37226,301860,5934,3.66,49.35,0.7,-31.47,67.09,77.23,8610.3857421875,8949.8984375,8569.6435546875,8804.4775390625,8804.4775390625,42142717533
112,2020-05-13,8702060,619634,XX,4346586,85082,1548787,55149,307370,5510,3.24,48.66,0.71,-31.49,65.9,76.53,8805.3876953125,9317.87890625,8805.3876953125,9269.9873046875,9269.9873046875,45558144023
113,2020-05-14,8892298,630792,XX,4440286,93700,1588128,39341,312964,5594,3.5,48.57,0.64,-31.84,66.28,77.76,9271.3291015625,9793.2685546875,9255.03515625,9733.7216796875,9733.7216796875,56426907637
114,2020-05-15,9084586,642060,XX,4540866,100580,1637397,49269,318651,5687,3.65,48.27,0.78,-32.38,65.71,80.09,9734.291015625,9755.828125,9261.3984375,9328.197265625,9328.197265625,48158802327
115,2020-05-16,9272654,651128,XX,4632355,91489,1693346,55949,323207,4556,3.36,46.84,0.58,-30.53,64.36,76.13,9333.240234375,9564.205078125,9260.6943359375,9377.013671875,9377.013671875,36164766408
116,2020-05-17,9429556,658284,XX,4712789,80434,1734213,40867,326948,3741,3.18,45.89,1.0,-30.08,56.95,75.03,9374.9296875,9823.001953125,9349.5458984375,9670.7392578125,9670.7392578125,40084250663
117,2020-05-18,9607278,666588,XX,4801150,88361,1787120,52907,330717,3769,4.01,53.11,0.82,-29.8,59.54,75.24,9675.6953125,9906.0302734375,9570.359375,9726.5751953125,9726.5751953125,41827139896
118,2020-05-19,9800264,676862,XX,4896039,94889,1839187,52067,335921,5204,2.9,47.82,0.58,-24.2,64.53,77.17,9727.0634765625,9836.0478515625,9539.6240234375,9729.0380859375,9729.0380859375,39254288955
119,2020-05-20,10010810,687604,XX,4998052,102013,1897700,58513,341329,5408,3.14,47.03,0.68,-22.76,62.89,76.61,9725.3291015625,9804.7939453125,9447.201171875,9522.9814453125,9522.9814453125,36546239703
120,2020-05-21,10222024,697514,XX,5103116,105064,1948928,51228,346367,5038,3.08,47.3,0.75,-19.73,64.29,77.35,9522.740234375,9555.2421875,8869.9306640625,9081.76171875,9081.76171875,39326160532
